Company Name,"Location 
(Headquarters)",Type of Document,Page title,Main Topic,URL Address,"Connection With
 Other Companies",Associated Topics,"Reference to
Mining",Comments,Longitude,Latitude
IMB,"New York, NY, USA",Web Page,About IBM,"Global impacts on AI, work, and sustainability through technological innovation",https://www.ibm.com/about?lnk=hpii1us,NA,"Innovation, Sustainability, enviromwental commitment, responsible technology",NA,"Describes global implications of AI, with references to quantum computing, cloud computing, space technology, and AI powered workers",40.71020494,-73.95621
Microsoft,"Redmond, Washington, USA",Web Page,About  ,Empowering the world to achieve more,https://www.microsoft.com/en-us/about,NA,"Rights, Sustainability, Diversity and Inclusion, Innovation",NA,"Presentst its four missions; There was a weird focus on ""trust"" and ""honesty"" that was mentioned multiple times",47.67462496,-122.120399
Microsoft,"Redmond, Washington, USA",Web Page,Corporate Responsibility,"Accelerating sustainability; driving responsible, transparent AI",https://www.microsoft.com/en-us/corporate-responsibility,NA,"Rights, Security and Privacy, Digital skills, Sustainability",NA,"There is a section titled ""Stories of Impact"" in which stories about healthcare accessibility, rural hospitals and cyberattacks, and biodiversity are all listed",47.67462496,-122.120399
Oracle,"Austin, Texas, USA",Web Page,Corporate,"Utilizing data on a new scale, greater innovation",https://www.oracle.com/corporate/,NA,NA,NA,"Mostly focused on highlighting customer experience, investor relations, and corporate responsibility",30.26339699,-97.7439708
Oracle,"Austin, Texas, USA",Web Page,Social Impact,"Reports on philanthropy, people, planet, and practices",https://www.oracle.com/social-impact/,NA,"Education, Health, Inclusion and belonging, Sustainability",NA,"The name of this page appears as Corporate Responbility on the website, but Social Impact on the URL. ",30.26339699,-97.7439708
SAP,"Walldorf, Germany",Web Page,What is SAP?,Software management and various uses through a digital platform,https://www.sap.com/about/what-is-sap.html,NA,"Artificial Intelligence, Machine Learning, ",NA,"Includes defining SAP's main product: ERP software, as well as its uses for both the company (profits) and consumers",49.2949519,8.697848115
SAS Institute,"Cary, North Carolina, USA",Web Page,About SAS,Innovative AI and Analytics,https://www.sas.com/en_us/company-information.html,NA,NA,NA,"Serves as a connection to other pages, displaying less information than other companies.",35.78888442,-78.77559852
SAS Institute,"Cary, North Carolina, USA",Web Page,Corporate Social Responbility,"Global Impact  through three areas: Environmental Program, Social Impact and Responsibility, and Governance and Management",https://www.sas.com/en_us/company-information/corporate-social-responsibility.html,NA,Environment,NA,"Provides statistics for SAS' accomplishments in all three fields, as well as links to pdfs containing reports and further information",35.78888442,-78.77559852
Qlik,"King of Prussia, Pennsylvania, USA",Web Page,Where There's Data There's Qlik,Descrives balues and services provided to their bussiness partners,https://www.qlik.com/us/company,too many,"Innovation, partnerships, responsabilities, collaboration",NA,"this page places a lot of the focuse on the relationships with their partners (1,850)",40.10097313,-75.38398175
Splunk,"San Jose, California, USA",Web Page,About Splunk,Builkding a safer and more resilient digital world,https://www.splunk.com/en_us/about-splunk.html,Cisco,"resilience, orgtanization, security, AI powered",""" Splunk has helped organizations explore the vast depths of their data like spelunkers in a cave (hence, “Splunk”).""",places a big enfacis on security,37.33481462,-121.8714026
Alterix,"Irvine, California, USA",Web Page,The Company Powering Analytics for all,Portrays their accesible approach to analytics,https://www.alteryx.com/about-us,"Coca cola, vodafone, walmart, sega, gym shark","access, equality, inovation, transformation",NA,outlines the mission of making analytics easier for employees,33.68602515,-117.8245451
"Strategy, formerly MicroStrategy","Virginia, USA",Web Page,About Strategy,"We are the world's first and largest Bitcoin Treasury Company, and the largest independent, publicly traded business intelligence company.",https://www.strategysoftware.com/company,NA,"AI, technology inovation, bitcoin",NA,"very breif and to the point, didn’t outline any values or mission",37.47849742,-78.58922811
